Gage Name	Structure gage having no data estimated prior to construction (post-1990)	Structure gage with missing data that has not been estimated	Period of measured record	Period of hindcasted record
SITE_17	N	N	1/1/90 - current	None
SITE_19	N	N	10/16/92 - current	1/1/90 - 10/15/92
SITE_62	N	N	1/1/90 - current	None
SITE_63	N	N	1/1/90 - current	None
SITE_64	N	N	1/1/90 - current	None
SITE_65	N	N	1/1/90 - current	None
SITE_69W	N	N	10/22/94 - current	1/1/90 - 10/21/94
SITE_7	N	N	1/2/90 - current	1/1/90 - 1/1/90
SITE_71	N	N	7/17/91 - current	1/1/90 - 7/16/91
SITE_76	N	N	7/25/91 - current	1/1/90 - 7/24/91
SITE_8C	N	N	1/1/90 - current	None
SITE_8T	N	N	1/3/90 - current	1/1/90 - 1/2/90
SITE_9	N	N	1/4/90 - current	1/1/90 - 1/3/90
SITE_99	N	N	7/12/91 - current	1/1/90 - 7/11/91
SOUTH_CA1	N	N	5/11/01 - current	1/1/90 - 12/31/99
SP	N	N	9/17/96 - current	1/1/90 - 9/16/96
SR1	N	N	6/16/99 - current	1/1/90 - 6/15/99
SRS1	N	N	1/1/90 - current	None
Stillwater_Creek	N	N	4/28/99 - current	1/1/90 - 4/27/99
Taylor_River_at_mouth	N	N	10/2/95 - current	1/1/90 - 10/1/95
Taylor_Slough_wetland_at_E146	N	N	10/4/03 - current	1/1/90 - 10/3/03
TI-8	N	N	1/23/06 - current	1/1/90 - 1/22/06
TI-9	N	N	1/23/06 - current	1/1/90 - 1/22/06
TMC	N	N	3/30/96 - current	1/1/90 - 3/29/96
Trout_Creek_at_mouth	N	N	1/21/96 - current	1/1/90 - 1/20/96
TSB	N	N	1/1/90 - current	None
TSH	N	N	3/12/94 - current	1/1/90 - 3/11/94
Upstream_Taylor_River	N	N	7/30/99 - current	1/1/90 - 7/29/99
W11	N	N	1/26/06 - current	1/1/90 - 1/25/06
W14	N	N	1/25/06 - current	1/1/90 - 1/24/06
W15	N	N	1/25/06 - current	1/1/90 - 1/24/06
W18	N	N	8/6/03 - current	1/1/90 - 8/5/03
W2	N	N	1/24/06 - current	1/1/90 - 1/23/06
W5	N	N	1/24/06 - current	1/1/90 - 1/23/06
WC2AN1	N	N	5/22/09 - current	1/1/90 - 5/21/09
WC2AS1	N	N	6/3/09 - current	1/1/90 - 6/2/09
WCA1ME	N	N	2/17/96 - current	1/1/90 - 2/16/96
WCA2E1	N	N	10/27/94 - current	1/1/90 - 10/26/94
WCA2E4	N	N	10/25/94 - current	1/1/90 - 10/24/94
WCA2F1	N	N	10/26/94 - current	1/1/90 - 10/25/94
WCA2F4	N	N	10/26/94 - current	1/1/90 - 10/25/94
WCA2RT	N	N	12/5/94 - current	1/1/90 - 12/4/94
WCA2U1	N	N	10/25/94 - current	1/1/90 - 10/24/94
WCA2U3	N	N	1/4/96 - current	1/1/90 - 1/3/96
West_Highway_Creek	N	N	2/17/96 - current	1/1/90 - 2/16/96
